DateTime,Position,Height (Feet),Width (Feet),Density (Gallons)
2026-04-28_10:00:45,"40.737159764394164, -81.90234141424298",6.59,4.56,0.02
2026-04-28_10:00:46,"40.73714652098715, -81.90239572897553",10.33,5.09,0.03
2026-04-28_10:00:47,"40.73713227175176, -81.90234174951911",7.05,3.35,0.02
2026-04-28_10:00:48,"40.7371321041137, -81.90239606425166",9.19,5.09,0.02
2026-04-28_10:00:49,"40.73711986653507, -81.90239639952779",9.51,3.58,0.02
2026-04-28_10:00:49,"40.73711986653507, -81.90234208479524",8.66,4.4,0.02
2026-04-28_10:00:50,"40.73710695840418, -81.90239740535617",9.97,3.67,0.02
2026-04-28_10:00:51,"40.7371009234339, -81.90234376117587",8.66,5.38,0.03
2026-04-28_10:00:52,"40.737088518217206, -81.902344096452",7.55,3.18,0.02
2026-04-28_10:00:52,"40.73709002695978, -81.90239841118455",9.06,5.02,0.02
2026-04-28_10:00:54,"40.73707510717213, -81.90239841118455",9.45,5.15,0.02
2026-04-28_10:00:54,"40.73707359842956, -81.90234443172812",7.61,4.1,0.02
2026-04-28_10:00:55,"40.73706437833607, -81.90239807590842",9.15,2.66,0.01
2026-04-28_10:00:55,"40.73706069029868, -81.902344096452",7.22,3.44,0.02
2026-04-28_10:00:56,"40.73705247603357, -81.90239807590842",9.71,4.4,0.02
2026-04-28_10:00:57,"40.73704660870135, -81.90234376117587",7.74,5.22,0.03
2026-04-28_10:00:58,"40.73703202418983, -81.90234376117587",8.46,5.28,0.03
2026-04-28_10:00:59,"40.73703101836145, -81.90239807590842",10.73,5.15,0.03
2026-04-28_10:01:00,"40.737017104402184, -81.90239841118455",10.3,5.28,0.03
2026-04-28_10:01:00,"40.737017607316375, -81.902344096452",8.53,4.63,0.02
2026-04-28_10:01:02,"40.737002519890666, -81.90234443172812",7.19,3.54,0.02
2026-04-28_10:01:02,"40.7370023522526, -81.90239874646068",10.07,5.31,0.03
2026-04-28_10:01:03,"40.73698944412172, -81.90239874646068",11.09,4.46,0.03
2026-04-28_10:01:03,"40.73698760010302, -81.90234443172812",8.66,4.59,0.02
2026-04-28_10:01:05,"40.7369748596102, -81.9023990817368",9.84,4.72,0.03
2026-04-28_10:01:05,"40.7369730155915, -81.90234476700425",8.14,5.25,0.02
2026-04-28_10:01:07,"40.73695826344192, -81.9023454375565",8.14,5.18,0.03
2026-04-28_10:01:07,"40.736955078318715, -81.90239975228906",10.6,5.18,0.03
2026-04-28_10:01:08,"40.73694468475878, -81.90240042284131",10.6,2.13,0.01
2026-04-28_10:01:08,"40.736944349482656, -81.90234610810876",8.04,5.18,0.02
2026-04-28_10:01:10,"40.73693227954209, -81.90240042284131",10.93,5.28,0.03
2026-04-28_10:01:10,"40.736931608989835, -81.90234610810876",5.61,4.36,0.01
2026-04-28_10:01:11,"40.73691870085895, -81.90234577283263",7.41,3.38,0.02
2026-04-28_10:01:11,"40.73691735975444, -81.90240008756518",9.84,5.09,0.03
2026-04-28_10:01:12,"40.73690512217581, -81.90234577283263",8.2,5.05,0.02
2026-04-28_10:01:13,"40.73690311051905, -81.90240008756518",10.56,5.28,0.03
2026-04-28_10:01:14,"40.73688986711204, -81.90234610810876",7.22,5.31,0.02
2026-04-28_10:01:14,"40.73688852600753, -81.90240075811744",10.43,5.05,0.02
2026-04-28_10:01:15,"40.73687796480954, -81.90234677866101",7.25,3.15,0.02
2026-04-28_10:01:16,"40.736873438581824, -81.90240109339356",9.32,5.35,0.03
2026-04-28_10:01:17,"40.736863715574145, -81.90240109339356",7.68,1.41,0.01
2026-04-28_10:01:17,"40.7368643861264, -81.90234711393714",6.76,3.44,0.02
2026-04-28_10:01:19,"40.736850472167134, -81.90240109339356",9.35,5.09,0.02
2026-04-28_10:01:19,"40.73685080744326, -81.90234677866101",7.19,5.31,0.02
2026-04-28_10:01:20,"40.736839240416884, -81.90240109339356",8.99,3.02,0.02
2026-04-28_10:01:20,"40.736835887655616, -81.90234677866101",8.4,4.43,0.02
2026-04-28_10:01:32,"40.736734634265304, -81.9023477844894",8.04,4.4,0.02
2026-04-28_10:01:32,"40.73673480190337, -81.90240209922194",8.73,5.15,0.03
2026-04-28_10:01:33,"40.73671921156347, -81.90240176394582",10.14,5.35,0.03
2026-04-28_10:01:34,"40.73671451769769, -81.90234744921327",9.97,5.25,0.03
2026-04-28_10:01:35,"40.736703956499696, -81.90240209922194",8.46,5.12,0.03
2026-04-28_10:01:35,"40.73670010082424, -81.90234811976552",9.35,5.15,0.03
2026-04-28_10:01:37,"40.73669037781656, -81.90240243449807",8.27,5.18,0.02
2026-04-28_10:01:37,"40.73668702505529, -81.90234811976552",10.01,5.18,0.03
2026-04-28_10:01:38,"40.73667545802891, -81.90234845504165",8.86,3.08,0.02
2026-04-28_10:01:38,"40.73667763732374, -81.9024027697742",8.17,5.02,0.03
2026-04-28_10:01:40,"40.73666305281222, -81.90240243449807",9.55,5.31,0.03
2026-04-28_10:01:40,"40.7366622146219, -81.90234811976552",10.1,5.05,0.03
2026-04-28_10:01:42,"40.73664997704327, -81.90240344032645",9.48,5.25,0.03
2026-04-28_10:01:42,"40.73664712719619, -81.9023491255939",8.96,5.25,0.02
2026-04-28_10:01:43,"40.736635560169816, -81.90240377560258",8.6,5.15,0.03
2026-04-28_10:01:43,"40.736633045598865, -81.90234979614615",8.43,5.28,0.02
2026-04-28_10:01:45,"40.7366209756583, -81.90240377560258",8.33,5.22,0.03
2026-04-28_10:01:45,"40.73661829344928, -81.90234979614615",6.56,5.31,0.02
2026-04-28_10:01:47,"40.73660639114678, -81.90240377560258",8.96,5.18,0.04
2026-04-28_10:01:47,"40.73660337366164, -81.90234979614615",8.2,5.18,0.03
2026-04-28_10:01:48,"40.736591974273324, -81.9024041108787",9.74,5.15,0.03
2026-04-28_10:01:48,"40.73658929206431, -81.90235013142228",10.63,5.15,0.02
2026-04-28_10:01:50,"40.73657755739987, -81.90240444615483",8.5,5.12,0.03
2026-04-28_10:01:50,"40.73657521046698, -81.90235046669841",9.42,5.12,0.03
2026-04-28_10:01:52,"40.73656246997416, -81.90240444615483",9.12,5.18,0.02
2026-04-28_10:01:52,"40.736561296507716, -81.90235013142228",9.58,5.18,0.03
2026-04-28_10:01:53,"40.73654889129102, -81.90235013142228",9.06,3.64,0.02
2026-04-28_10:01:53,"40.73654771782458, -81.90240444615483",8.43,5.25,0.03
2026-04-28_10:01:55,"40.736534809693694, -81.90235046669841",10.07,5.28,0.02
2026-04-28_10:01:55,"40.73653380386531, -81.90240478143096",8.73,5.28,0.02
2026-04-28_10:01:57,"40.73652039282024, -81.90235080197453",7.91,5.15,0.02
2026-04-28_10:01:57,"40.736519722267985, -81.90240511670709",9.97,5.28,0.03
2026-04-28_10:01:58,"40.73650664649904, -81.90235113725066",8.86,5.28,0.03
2026-04-28_10:01:58,"40.73650429956615, -81.90240545198321",8.73,5.25,0.03
2026-04-28_10:02:00,"40.736491894349456, -81.90235147252679",10.14,5.15,0.03
2026-04-28_10:02:00,"40.73649055324495, -81.90240578725934",9.74,5.15,0.02
2026-04-28_10:02:02,"40.736477477476, -81.90235180780292",8.89,5.18,0.03
2026-04-28_10:02:02,"40.73647697456181, -81.90240578725934",9.25,5.18,0.03
2026-04-28_10:02:03,"40.73646473698318, -81.90235180780292",9.02,4.07,0.02
2026-04-28_10:02:04,"40.73646222241223, -81.90240612253547",8.23,5.28,0.03
2026-04-28_10:02:05,"40.7364499848336, -81.90235180780292",8.6,5.05,0.02
2026-04-28_10:02:05,"40.73644747026265, -81.9024064578116",8.66,5.15,0.02
2026-04-28_10:02:06,"40.736437076702714, -81.90240712836385",8.33,2.56,0.01
2026-04-28_10:02:06,"40.73643556796014, -81.90235247835517",8.73,5.15,0.03
2026-04-28_10:02:08,"40.73642483912408, -81.90240679308772",9.06,5.22,0.03
2026-04-28_10:02:08,"40.73642215691507, -81.90235247835517",9.02,5.22,0.02
2026-04-28_10:02:09,"40.736411260440946, -81.90240679308772",8.63,5.22,0.03
2026-04-28_10:02:10,"40.73640857823193, -81.90235214307904",7.81,5.09,0.02
2026-04-28_10:02:11,"40.736397514119744, -81.90240679308772",8.73,5.18,0.03
2026-04-28_10:02:11,"40.73639533482492, -81.90235247835517",7.22,3.84,0.02
2026-04-28_10:02:42,"40.73639432899654, -81.90230218693614",8.63,5.09,0.03
2026-04-28_10:02:42,"40.736397514119744, -81.90224820747972",9.97,5.31,0.03
2026-04-28_10:02:44,"40.73640891350806, -81.90230218693614",9.97,5.15,0.03
2026-04-28_10:02:44,"40.736411260440946, -81.90224854275584",10.07,5.31,0.03
2026-04-28_10:02:44,"40.736417127773166, -81.9023028574884",6.43,1.12,0.0
2026-04-28_10:02:46,"40.73642618022859, -81.90224854275584",10.76,5.15,0.04
2026-04-28_10:02:46,"40.73642819188535, -81.9023028574884",9.25,2.49,0.01
2026-04-28_10:02:47,"40.73643892072141, -81.90224820747972",9.15,5.15,0.03
2026-04-28_10:02:48,"40.736445961520076, -81.90230185166001",8.2,3.05,0.01
2026-04-28_10:02:49,"40.736454175785184, -81.90224720165133",8.83,5.18,0.03
2026-04-28_10:02:49,"40.73646037839353, -81.90230118110776",8.04,3.61,0.01
2026-04-28_10:02:50,"40.73646976612508, -81.90224686637521",10.17,5.25,0.04
2026-04-28_10:02:51,"40.736472783610225, -81.90230084583163",7.91,2.82,0.01
2026-04-28_10:02:52,"40.736484015360475, -81.90224619582295",10.14,5.25,0.03
2026-04-28_10:02:53,"40.73649792931974, -81.90224586054683",8.92,5.18,0.03
2026-04-28_10:02:54,"40.7365049701184, -81.90230017527938",9.78,3.84,0.02
2026-04-28_10:02:55,"40.73651217855513, -81.90224586054683",10.1,5.15,0.03
2026-04-28_10:02:56,"40.73652273975313, -81.90230017527938",8.23,3.58,0.02
2026-04-28_10:02:57,"40.73652642779052, -81.9022455252707",9.45,5.22,0.03
2026-04-28_10:02:57,"40.73653715662658, -81.90229950472713",7.15,2.4,0.02
2026-04-28_10:02:58,"40.736541179940104, -81.90224518999457",9.68,5.25,0.03
2026-04-28_10:03:00,"40.73655509389937, -81.90224518999457",9.94,5.25,0.04
2026-04-28_10:03:00,"40.73656448163092, -81.90229950472713",6.33,2.53,0.01
2026-04-28_10:03:01,"40.73656934313476, -81.90224518999457",10.3,5.18,0.03
2026-04-28_10:03:02,"40.736580239608884, -81.902299169451",7.32,2.72,0.01
2026-04-28_10:03:03,"40.73658409528434, -81.90224485471845",9.65,5.09,0.03
2026-04-28_10:03:04,"40.73659381829202, -81.902299169451",8.14,2.1,0.01
2026-04-28_10:03:04,"40.73659867979586, -81.90224485471845",10.76,5.15,0.03
2026-04-28_10:03:05,"40.73660890571773, -81.90229883417487",8.23,2.62,0.02
2026-04-28_10:03:06,"40.736612258479, -81.9022441841662",10.63,5.09,0.03
2026-04-28_10:03:07,"40.73662265203893, -81.90229816362262",9.65,3.64,0.02
2026-04-28_10:03:07,"40.73662583716214, -81.90224351361394",11.42,5.05,0.03
2026-04-28_10:03:08,"40.736636063084006, -81.90229782834649",8.1,3.9,0.02
2026-04-28_10:03:09,"40.7366397511214, -81.90224351361394",11.15,5.12,0.04
2026-04-28_10:03:10,"40.73665433563292, -81.90229749307036",8.99,3.05,0.02
2026-04-28_10:03:11,"40.73665416799486, -81.90224317833781",11.61,5.22,0.03
2026-04-28_10:03:12,"40.73666640557349, -81.90229782834649",10.83,2.82,0.02
2026-04-28_10:03:12,"40.736668752506375, -81.90224351361394",12.14,5.22,0.03
2026-04-28_10:03:14,"40.73668266646564, -81.90224351361394",12.43,5.12,0.03
2026-04-28_10:03:14,"40.736684845760465, -81.90229816362262",9.55,5.35,0.02
2026-04-28_10:03:15,"40.73669641278684, -81.90224384889007",10.76,5.31,0.04
2026-04-28_10:03:15,"40.73669775389135, -81.90229782834649",8.3,3.77,0.02
2026-04-28_10:03:17,"40.73671099729836, -81.90224351361394",12.47,5.25,0.03
2026-04-28_10:03:17,"40.73671300895512, -81.90229782834649",9.22,4.99,0.02
2026-04-28_10:03:18,"40.736723402515054, -81.90229816362262",8.27,2.49,0.01
2026-04-28_10:03:19,"40.736725917086005, -81.90224384889007",10.79,5.28,0.03
2026-04-28_10:03:20,"40.73673580773175, -81.90229816362262",8.89,2.13,0.01
2026-04-28_10:03:20,"40.73673949576914, -81.9022441841662",9.71,3.38,0.02
2026-04-28_10:03:32,"40.736841252073646, -81.90229615196586",9.78,5.12,0.03
2026-04-28_10:03:33,"40.73684644885361, -81.90224150195718",11.52,5.12,0.03
2026-04-28_10:03:34,"40.736857345327735, -81.90229581668973",9.65,5.12,0.02
2026-04-28_10:03:34,"40.73686153627932, -81.90224150195718",11.35,5.25,0.03
2026-04-28_10:03:36,"40.73687092401087, -81.9022954814136",9.19,5.25,0.03
2026-04-28_10:03:36,"40.73687561787665, -81.90224150195718",10.86,5.25,0.03
2026-04-28_10:03:36,"40.73688064701855, -81.90229581668973",9.28,1.74,0.01
2026-04-28_10:03:38,"40.73688986711204, -81.90224116668105",10.01,5.22,0.03
2026-04-28_10:03:38,"40.736893555149436, -81.9022954814136",9.61,5.22,0.03
2026-04-28_10:03:40,"40.73690394870937, -81.90224116668105",10.79,5.18,0.03
2026-04-28_10:03:40,"40.73690797202289, -81.90229514613748",8.33,5.18,0.02
2026-04-28_10:03:41,"40.736918868497014, -81.90229514613748",8.79,3.08,0.01
2026-04-28_10:03:41,"40.736918868497014, -81.90224116668105",11.71,5.18,0.03
